method,cn2,distance,target_occlusion,sample_count,label_accuracy,order_accuracy,phase_accuracy,mean_phase_bin_error,mean_confidence,mean_achieved_occlusion
A0_DAF,2.5e-14,500.0,0.3,320,1.0,1.0,1.0,0.0,0.7385368891434104,0.3001797535449886
A0_DAF,2.5e-14,500.0,0.4,320,0.984375,1.0,0.984375,0.015625,0.7324795352592532,0.40013968524680943
A0_DAF,2.5e-14,750.0,0.0,160,1.0,1.0,1.0,0.0,0.780635170450488,0.0
A0_DAF,2.5e-14,750.0,0.1,160,1.0,1.0,1.0,0.0,0.7129210319496474,0.10010642965387481
A0_DAF,2.5e-14,750.0,0.2,160,0.9875,1.0,0.9875,0.0125,0.601857147535369,0.20009239406602952
A0_DAF,2.5e-14,750.0,0.3,160,0.85625,1.0,0.85625,0.14375,0.5489660058860127,0.3001050458235525
A0_DAF,2.5e-14,750.0,0.4,160,0.60625,1.0,0.60625,0.39375,0.5743770394923257,0.4001147222971966
A0_DAF,2.5e-14,1000.0,0.0,320,0.9375,1.0,0.9375,0.0625,0.4304997569917387,0.0
A0_DAF,2.5e-14,1000.0,0.1,320,0.76875,0.8625,0.76875,0.60625,0.39863394704570104,0.10008643431894818
A0_DAF,2.5e-14,1000.0,0.2,320,0.6125,0.709375,0.6375,0.90625,0.3835456111943329,0.20009164299939947
A0_DAF,2.5e-14,1000.0,0.3,320,0.5625,0.671875,0.59375,0.9625,0.39274387301831193,0.3000814788190223
A0_DAF,2.5e-14,1000.0,0.4,320,0.50625,0.603125,0.5375,1.16875,0.4101219386323335,0.40008436549946796
A0_DAF,5e-14,250.0,0.0,160,1.0,1.0,1.0,0.0,0.7229575676038587,0.0
A0_DAF,5e-14,250.0,0.1,160,1.0,1.0,1.0,0.0,0.7454859526301945,0.10020484323984151
A0_DAF,5e-14,250.0,0.2,160,1.0,1.0,1.0,0.0,0.7517347823688206,0.20030010307891252
A0_DAF,5e-14,250.0,0.3,160,1.0,1.0,1.0,0.0,0.7462897831304638,0.30017903763750997
A0_DAF,5e-14,250.0,0.4,160,1.0,1.0,1.0,0.0,0.7340289826023917,0.40023421679874505
A0_DAF,5e-14,500.0,0.0,320,1.0,1.0,1.0,0.0,0.6795674148823703,0.0
A0_DAF,5e-14,500.0,0.1,320,0.95,1.0,0.95,0.05,0.6129549203214152,0.10020425393552383
A0_DAF,5e-14,500.0,0.2,320,0.9375,1.0,0.9375,0.0625,0.5561655352482339,0.20016416284295685
A0_DAF,5e-14,500.0,0.3,320,0.9375,1.0,0.9375,0.0625,0.5558660196590125,0.30014504634615624
A0_DAF,5e-14,500.0,0.4,320,0.878125,1.0,0.878125,0.121875,0.5995085097269535,0.40016505464665036
A0_DAF,5e-14,750.0,0.0,160,0.78125,0.875,0.78125,0.36875,0.44986954761386144,0.0
A0_DAF,5e-14,750.0,0.1,160,0.65,0.80625,0.65,0.6375,0.4354838777164242,0.10012081203532577
A0_DAF,5e-14,750.0,0.2,160,0.4375,0.63125,0.4625,1.14375,0.3514046785432555,0.20011066475937217
A0_DAF,5e-14,750.0,0.3,160,0.46875,0.6,0.525,1.01875,0.31443357061119104,0.30012434799880744
A0_DAF,5e-14,750.0,0.4,160,0.5375,0.69375,0.5375,1.075,0.3053974998649703,0.40012640854495957
A0_DAF,5e-14,1000.0,0.0,320,0.0625,0.20625,0.096875,2.084375,0.28517080368391345,0.0
A0_DAF,5e-14,1000.0,0.1,320,0.05,0.19375,0.09375,2.034375,0.33873230858638587,0.10007193563739843
A0_DAF,5e-14,1000.0,0.2,320,0.090625,0.21875,0.1375,1.890625,0.3378387441199187,0.20007832488444732
A0_DAF,5e-14,1000.0,0.3,320,0.121875,0.2625,0.16875,1.8125,0.3450406440284957,0.3000827835695814
A0_DAF,5e-14,1000.0,0.4,320,0.15625,0.328125,0.203125,1.75625,0.3668926138253649,0.400093028952252
A0_DAF,1e-13,250.0,0.0,160,1.0,1.0,1.0,0.0,0.878401034949259,0.0
A0_DAF,1e-13,250.0,0.1,160,1.0,1.0,1.0,0.0,0.8308848439859264,0.10021362232182907
A0_DAF,1e-13,250.0,0.2,160,1.0,1.0,1.0,0.0,0.7842937665300304,0.20019269856550537
A0_DAF,1e-13,250.0,0.3,160,1.0,1.0,1.0,0.0,0.7840720733454349,0.30016022085635363
A0_DAF,1e-13,250.0,0.4,160,1.0,1.0,1.0,0.0,0.8122580962167861,0.4001498740490561
A0_DAF,1e-13,500.0,0.0,320,0.628125,0.7125,0.65625,0.775,0.4248962559238336,0.0
A0_DAF,1e-13,500.0,0.1,320,0.7125,0.809375,0.7625,0.453125,0.4168833390296859,0.10020815072329872
A0_DAF,1e-13,500.0,0.2,320,0.725,0.928125,0.746875,0.265625,0.41693204562707303,0.20021125031034695
A0_DAF,1e-13,500.0,0.3,320,0.58125,0.93125,0.61875,0.38125,0.4247216673494399,0.3002096123923514
A0_DAF,1e-13,500.0,0.4,320,0.44375,0.9125,0.496875,0.50625,0.4202235823492863,0.4001534117497429
A0_DAF,1e-13,750.0,0.0,160,0.06875,0.28125,0.1,2.15,0.2742924520200942,0.0
A0_DAF,1e-13,750.0,0.1,160,0.05625,0.30625,0.05625,2.2,0.2727993035498383,0.10009762734564429
A0_DAF,1e-13,750.0,0.2,160,0.09375,0.2625,0.125,1.98125,0.2662747152727881,0.20008022364042902
A0_DAF,1e-13,750.0,0.3,160,0.09375,0.25,0.1375,1.775,0.25282939206728594,0.300085289412491
A0_DAF,1e-13,750.0,0.4,160,0.09375,0.21875,0.15,1.6875,0.2532156407420601,0.4000805025110787
A0_DAF,1e-13,1000.0,0.0,320,0.115625,0.28125,0.196875,1.534375,0.3875328043122209,0.0
A0_DAF,1e-13,1000.0,0.1,320,0.1875,0.375,0.2625,1.328125,0.4012608123372564,0.10010564081595923
A0_DAF,1e-13,1000.0,0.2,320,0.225,0.359375,0.31875,1.2875,0.4044104862032228,0.20007205701470632
A0_DAF,1e-13,1000.0,0.3,320,0.18125,0.375,0.278125,1.265625,0.37229564823483896,0.3000584210470937
A0_DAF,1e-13,1000.0,0.4,320,0.271875,0.4625,0.38125,1.15,0.39201803528224033,0.40007656757504007
A1_MASK_ULS,1e-15,250.0,0.0,160,1.0,1.0,1.0,0.0,0.9630565547772434,0.0
A1_MASK_ULS,1e-15,250.0,0.1,160,1.0,1.0,1.0,0.0,0.8606539023042394,0.10025359122987713
A1_MASK_ULS,1e-15,250.0,0.2,160,1.0,1.0,1.0,0.0,0.7043772516110779,0.20021416457066593
A1_MASK_ULS,1e-15,250.0,0.3,160,1.0,1.0,1.0,0.0,0.605985537712881,0.30024464070832063
A1_MASK_ULS,1e-15,250.0,0.4,160,1.0,1.0,1.0,0.0,0.5775787109450496,0.40014828418012816
A1_MASK_ULS,1e-15,500.0,0.0,320,1.0,1.0,1.0,0.0,0.9508143344975111,0.0
A1_MASK_ULS,1e-15,500.0,0.1,320,1.0,1.0,1.0,0.0,0.8536144171067532,0.10019145446131875
A1_MASK_ULS,1e-15,500.0,0.2,320,1.0,1.0,1.0,0.0,0.7167575620739829,0.2001385532851045
A1_MASK_ULS,1e-15,500.0,0.3,320,1.0,1.0,1.0,0.0,0.6253979653627914,0.30013745614479326
A1_MASK_ULS,1e-15,500.0,0.4,320,1.0,1.0,1.0,0.0,0.5956624422538764,0.40013495258521453
A1_MASK_ULS,1e-15,750.0,0.0,160,1.0,1.0,1.0,0.0,0.9184856921423823,0.0
A1_MASK_ULS,1e-15,750.0,0.1,160,1.0,1.0,1.0,0.0,0.8855215811027314,0.10011495819683122
A1_MASK_ULS,1e-15,750.0,0.2,160,1.0,1.0,1.0,0.0,0.7970112604440669,0.20012636752805668
