method,scope,target_snr_db,target_occlusion,sample_count,label_accuracy,order_accuracy,phase_accuracy,mean_phase_bin_error,mean_confidence
MC-VWLS,snr_occlusion,20.0,0.2,1344,0.8519345238095238,0.890625,0.8616071428571429,0.27901785714285715,0.575474314545963
MC-VWLS,snr_occlusion,20.0,0.3,1344,0.8415178571428571,0.8950892857142857,0.8519345238095238,0.2775297619047619,0.5144964285264958
MC-VWLS,snr_occlusion,20.0,0.4,1344,0.8258928571428571,0.8965773809523809,0.8363095238095238,0.2961309523809524,0.48066924061039085
MC-VWLS,snr_occlusion,15.0,0.0,1344,0.8653273809523809,0.8936011904761905,0.8720238095238095,0.27232142857142855,0.7180673962540437
MC-VWLS,snr_occlusion,15.0,0.1,1344,0.8571428571428571,0.8943452380952381,0.8668154761904762,0.28125,0.6582806450869935
MC-VWLS,snr_occlusion,15.0,0.2,1344,0.8511904761904762,0.890625,0.8608630952380952,0.27976190476190477,0.5758497527016433
MC-VWLS,snr_occlusion,15.0,0.3,1344,0.8422619047619048,0.8950892857142857,0.8534226190476191,0.2760416666666667,0.5147293259421394
MC-VWLS,snr_occlusion,15.0,0.4,1344,0.8251488095238095,0.8965773809523809,0.8355654761904762,0.296875,0.4813288848576642
MC-VWLS,snr_occlusion,10.0,0.0,1344,0.8653273809523809,0.8943452380952381,0.8720238095238095,0.27157738095238093,0.7132187043984036
MC-VWLS,snr_occlusion,10.0,0.1,1344,0.8571428571428571,0.8936011904761905,0.8653273809523809,0.2857142857142857,0.6556074587256691
MC-VWLS,snr_occlusion,10.0,0.2,1344,0.8519345238095238,0.890625,0.8623511904761905,0.2767857142857143,0.5745671924579706
MC-VWLS,snr_occlusion,10.0,0.3,1344,0.8430059523809523,0.8950892857142857,0.8541666666666666,0.2767857142857143,0.5158188294304781
MC-VWLS,snr_occlusion,10.0,0.4,1344,0.8229166666666666,0.8950892857142857,0.8355654761904762,0.29836309523809523,0.48142919717346644
MC-VWLS,snr_occlusion,5.0,0.0,1344,0.8645833333333334,0.8950892857142857,0.8720238095238095,0.27232142857142855,0.7002473477225232
MC-VWLS,snr_occlusion,5.0,0.1,1344,0.8578869047619048,0.8936011904761905,0.8660714285714286,0.2849702380952381,0.6458435675956561
MC-VWLS,snr_occlusion,5.0,0.2,1344,0.8541666666666666,0.8921130952380952,0.8645833333333334,0.2767857142857143,0.5702128690549644
MC-VWLS,snr_occlusion,5.0,0.3,1344,0.8392857142857143,0.8965773809523809,0.8504464285714286,0.2819940476190476,0.513873832288655
MC-VWLS,snr_occlusion,5.0,0.4,1344,0.8236607142857143,0.8950892857142857,0.8355654761904762,0.29836309523809523,0.48021202904530375
MC-VWLS,snr_occlusion,0.0,0.0,1344,0.8653273809523809,0.8943452380952381,0.875,0.27306547619047616,0.6634218036942346
MC-VWLS,snr_occlusion,0.0,0.1,1344,0.8526785714285714,0.8928571428571429,0.859375,0.2976190476190476,0.6165320361354811
MC-VWLS,snr_occlusion,0.0,0.2,1344,0.8497023809523809,0.8921130952380952,0.8586309523809523,0.28794642857142855,0.5511012297732029
MC-VWLS,snr_occlusion,0.0,0.3,1344,0.8400297619047619,0.8950892857142857,0.8511904761904762,0.2767857142857143,0.5032578422810091
MC-VWLS,snr_occlusion,0.0,0.4,1344,0.8147321428571429,0.8921130952380952,0.8273809523809523,0.31101190476190477,0.4734579252546056
