category,relative_path,description,required,exists,is_file,status,size_bytes,size_display,csv_data_rows,modified_time,sha256
confusion,results/figures/fig_mc_vwls_confusion_matrix.pdf,Confusion-matrix vector figure,1,1,1,PASS,24475,23.901 KiB,,2026-08-04T20:01:31,7a71635b34fba6a5e3e251b8379be9837e4d35d42b88c0f65ca2dd2d8333f53e
confusion,results/figures/fig_mc_vwls_confusion_matrix.png,Confusion-matrix figure,1,1,1,PASS,206024,201.195 KiB,,2026-08-04T20:01:31,bc598e7211237272500ff8b161da549f087826a4c4c986e71b62154a4154dd5f
dataset,data/generated/occlusion_clean_v2.h5,Frozen occlusion dataset,1,1,1,PASS,9243575928,8.609 GiB,,2026-08-04T14:28:02,9616af15367c1d79ab531a78be4165864afccac17425691dd03e99e2c28ef272
dataset,data/generated/turbulence_base_v1.h5,Frozen turbulence base fields,1,1,1,PASS,4369442480,4.069 GiB,,2026-08-04T14:06:59,c5a00efe95ea8423b89bcecc02ae3861b4f193057a7c5e413539b3ce8455a037
failure_case,results/csv/mc_vwls_selected_failure_cases.csv,Selected representative failure cases,1,1,1,PASS,2035,1.987 KiB,4,2026-08-05T12:22:55,0eaf59e42a52a3b3889a94e5329e401ee1357d98f496b3c12c12eb1009a544e4
failure_case,results/figures/fig_mc_vwls_failure_cases.pdf,Representative failure-case PDF,1,1,1,PASS,297533,290.560 KiB,,2026-08-05T12:22:56,3316385ca51e3c7ab4cd406bd953fbbe4e53a811b9362ae980c277d9a4f537af
failure_case,results/figures/fig_mc_vwls_failure_cases.png,Representative failure-case figure,1,1,1,PASS,1097182,1.046 MiB,,2026-08-05T12:22:55,dcb1751b659523ab1d478282d13a8ceccf3d47addc9931df2638f8c7fe2ed1da
failure_case,results/validation/mc_vwls_failure_cases_report.txt,Representative failure-case report,1,1,1,PASS,1665,1.626 KiB,,2026-08-05T12:22:56,8b70cb26f001a98d10f3cedd9b54209bd25e482e8fb185dc0c3e56d3359c37bb
figure,results/figures/fig_mc_vwls_cn2_distance_heatmap.png,Cn2-distance heatmap,0,1,1,PASS,144441,141.056 KiB,,2026-08-04T19:45:00,d0493e245b4d143942a3847d0184a509d24b1903067bfec5b2e5ca8d2d485f9b
figure,results/figures/fig_mc_vwls_occlusion_accuracy.png,Occlusion-accuracy figure,0,0,0,MISSING_OPTIONAL,0,0.000 B,,,
figure,results/figures/fig_mc_vwls_overall_accuracy.png,Overall-accuracy figure,0,0,0,MISSING_OPTIONAL,0,0.000 B,,,
figure,results/figures/fig_mc_vwls_snr_accuracy.png,SNR-accuracy figure,0,0,0,MISSING_OPTIONAL,0,0.000 B,,,
paper,docs/experiment_results_draft.md,Experimental-results draft,1,1,1,PASS,21935,21.421 KiB,,2026-08-04T20:10:49,03ee4acce12b4cedc4697e232e0f358444c509a63e809690e309085137465c65
prediction,results/csv/mc_vwls_ablation_full_test_predictions.csv,Full-test ablation predictions,1,1,1,PASS,24903216,23.750 MiB,134400,2026-08-04T19:36:17,120ef2c7241854190ac9b0ce34fe906d3a9209e1e3cdb6fef1b349161cb3b99a
report,results/validation/mc_vwls_ablation_full_test_report.txt,Full-test ablation validation report,1,1,1,PASS,5944,5.805 KiB,,2026-08-04T19:36:17,f30806ec7d0180077a7181f69c4167eacb38c7f40ffa7e90166c57ce564c2344
runtime,results/csv/mc_vwls_complexity_summary.csv,Computational-complexity table,1,1,1,PASS,843,843.000 B,4,2026-08-05T12:26:25,8af1073f194095829461181dd60d98f894e1efeb29241093efe121080fb27503
runtime,results/csv/mc_vwls_runtime_benchmark.csv,Runtime benchmark table,1,1,1,PASS,1984,1.938 KiB,8,2026-08-05T12:26:25,24dd7e402e5f810a936ce7443b1f3a895eae001dbd4c0c28b2d67f5d8cca6d6e
runtime,results/figures/fig_mc_vwls_runtime.pdf,Runtime comparison PDF,1,1,1,PASS,67028,65.457 KiB,,2026-08-05T12:26:25,6b9db2d4f14c49855713b4ad5b89211bfa3f36dc4d7bfd95c8f6bf44c20b5481
runtime,results/figures/fig_mc_vwls_runtime.png,Runtime comparison figure,1,1,1,PASS,33341,32.560 KiB,,2026-08-05T12:26:25,655a0190f9e23931846a8d9ebf79ad99f8486d27e364abe9ee2b436b5399338f
runtime,results/validation/mc_vwls_runtime_complexity_report.txt,Runtime and complexity report,1,1,1,PASS,3181,3.106 KiB,,2026-08-05T12:26:25,02fcddf4a7305384d8d1d45047d5a1315e2b09e9d7be52bd6097892cd722d859
split,data/manifest/sample_split_v1.npz,Grouped train-validation-test split,1,1,1,PASS,22641,22.110 KiB,,2026-08-04T17:14:37,48cc0bd88f40e7372f69c7601f6144f9d8214e2cc31353d507367879c3baae1b
statistics,results/csv/mc_vwls_statistical_comparison.csv,Pairwise statistical comparison,0,0,0,MISSING_OPTIONAL,0,0.000 B,,,
statistics,results/validation/mc_vwls_statistical_comparison_report.txt,Statistical-comparison report,0,0,0,MISSING_OPTIONAL,0,0.000 B,,,
summary,results/csv/mc_vwls_ablation_summary.csv,Full-test ablation summary,1,1,1,PASS,24509,23.935 KiB,160,2026-08-04T19:36:17,c24a6cfad5fadce9ff8301aad1511c2da74d04ed405c538b6e6f830618591604
