method,scope,target_snr_db,target_occlusion,true_order,sample_count,label_accuracy,order_accuracy,phase_accuracy,mean_phase_bin_error,mean_confidence,mean_visibility,mean_valid_fraction
A1_MASK_ULS,snr_occlusion,5.0,0.2,,1344,0.8526785714285714,0.8913690476190477,0.8616071428571429,0.2849702380952381,0.5775411336278965,0.9621825392332597,1.0
A1_MASK_ULS,snr_occlusion,5.0,0.3,,1344,0.8400297619047619,0.8913690476190477,0.8511904761904762,0.2849702380952381,0.5192853967654792,0.9453885082431923,1.0
A1_MASK_ULS,snr_occlusion,5.0,0.4,,1344,0.828125,0.8980654761904762,0.8400297619047619,0.29017857142857145,0.4923593816606234,0.9275638954648019,1.0
A1_MASK_ULS,snr_occlusion,0.0,0.0,,1344,0.8653273809523809,0.8943452380952381,0.875,0.27306547619047616,0.6634218036942349,0.9999999999999998,1.0
A1_MASK_ULS,snr_occlusion,0.0,0.1,,1344,0.8534226190476191,0.8936011904761905,0.8601190476190477,0.29538690476190477,0.6266596831810392,0.9783871761485288,1.0
A1_MASK_ULS,snr_occlusion,0.0,0.2,,1344,0.8504464285714286,0.8921130952380952,0.8601190476190477,0.28125,0.5599253269266826,0.9621825392332597,1.0
A1_MASK_ULS,snr_occlusion,0.0,0.3,,1344,0.8422619047619048,0.890625,0.8534226190476191,0.27901785714285715,0.5118293514083018,0.9453885082431923,1.0
A1_MASK_ULS,snr_occlusion,0.0,0.4,,1344,0.8214285714285714,0.8950892857142857,0.8340773809523809,0.3020833333333333,0.48867848653104484,0.9275638954648019,1.0
A1_MASK_ULS,order,,,1,8400,0.8566666666666667,0.9625,0.8566666666666667,0.21857142857142858,0.6770047770742381,0.9813632022435937,1.0
A1_MASK_ULS,order,,,2,8400,0.8554761904761905,0.900952380952381,0.8673809523809524,0.23083333333333333,0.5881940723992956,0.9695599356794723,1.0
A1_MASK_ULS,order,,,3,8400,0.8532142857142857,0.8661904761904762,0.8589285714285714,0.35964285714285715,0.5485717759413089,0.9566349785480512,1.0
A1_MASK_ULS,order,,,4,8400,0.8289285714285715,0.8442857142857143,0.8502380952380952,0.3230952380952381,0.5408939788978612,0.943259578800709,1.0
A2_RAW_VWLS,overall,,,,33600,0.8457142857142858,0.8931845238095238,0.8556547619047619,0.2858630952380952,0.5631501832938314,0.9627044238179566,1.0
A2_RAW_VWLS,snr,20.0,,,6720,0.8464285714285714,0.8925595238095239,0.8561011904761905,0.2849702380952381,0.573569769674743,0.9627044238179566,1.0
A2_RAW_VWLS,snr,15.0,,,6720,0.846577380952381,0.8930059523809524,0.8563988095238095,0.2837797619047619,0.5724991786082888,0.9627044238179566,1.0
A2_RAW_VWLS,snr,10.0,,,6720,0.8461309523809524,0.8933035714285714,0.8561011904761905,0.284375,0.5695840601328197,0.9627044238179566,1.0
A2_RAW_VWLS,snr,5.0,,,6720,0.8461309523809524,0.8936011904761905,0.8558035714285714,0.2855654761904762,0.5613622448702524,0.9627044238179566,1.0
A2_RAW_VWLS,snr,0.0,,,6720,0.8433035714285714,0.893452380952381,0.8538690476190476,0.290625,0.5387356631830529,0.9627044238179566,1.0
A2_RAW_VWLS,occlusion,,0.0,,6720,0.8651785714285715,0.8941964285714286,0.8727678571428571,0.272172619047619,0.7029118355918514,0.9999999999999999,1.0
A2_RAW_VWLS,occlusion,,0.1,,6720,0.8575892857142857,0.8949404761904762,0.8657738095238096,0.28035714285714286,0.6333843797119736,0.9783871761485289,1.0
A2_RAW_VWLS,occlusion,,0.2,,6720,0.8480654761904762,0.8895833333333333,0.8578869047619048,0.28660714285714284,0.5431229271881376,0.9621825392332599,1.0
A2_RAW_VWLS,occlusion,,0.3,,6720,0.8360119047619048,0.8921130952380952,0.8474702380952381,0.2876488095238095,0.4824992239095789,0.9453885082431923,1.0
A2_RAW_VWLS,occlusion,,0.4,,6720,0.8217261904761904,0.8950892857142857,0.834375,0.3025297619047619,0.45383255006761547,0.927563895464802,1.0
A2_RAW_VWLS,snr_occlusion,20.0,0.0,,1344,0.8653273809523809,0.8936011904761905,0.8727678571428571,0.27157738095238093,0.7196039258900515,0.9999999999999998,1.0
A2_RAW_VWLS,snr_occlusion,20.0,0.1,,1344,0.8571428571428571,0.8936011904761905,0.8660714285714286,0.2767857142857143,0.6469528751815308,0.9783871761485288,1.0
A2_RAW_VWLS,snr_occlusion,20.0,0.2,,1344,0.8482142857142857,0.8883928571428571,0.8578869047619048,0.2857142857142857,0.553041536882196,0.9621825392332597,1.0
A2_RAW_VWLS,snr_occlusion,20.0,0.3,,1344,0.8377976190476191,0.8913690476190477,0.8482142857142857,0.28720238095238093,0.48917803129327014,0.9453885082431923,1.0
A2_RAW_VWLS,snr_occlusion,20.0,0.4,,1344,0.8236607142857143,0.8958333333333334,0.8355654761904762,0.30357142857142855,0.4590724791266666,0.9275638954648019,1.0
A2_RAW_VWLS,snr_occlusion,15.0,0.0,,1344,0.8653273809523809,0.8936011904761905,0.8720238095238095,0.27232142857142855,0.7180673962540437,0.9999999999999998,1.0
A2_RAW_VWLS,snr_occlusion,15.0,0.1,,1344,0.8586309523809523,0.8950892857142857,0.8675595238095238,0.27529761904761907,0.645567609989705,0.9783871761485288,1.0
A2_RAW_VWLS,snr_occlusion,15.0,0.2,,1344,0.8489583333333334,0.8891369047619048,0.8586309523809523,0.2849702380952381,0.5521852965759905,0.9621825392332597,1.0
